site,Depth,season,date,drp,tp
ltm,0,wet,10/29/2015,0.00144,0.00592
ltm,20,wet,10/29/2015,0.00254,0.01400
ltm,40,wet,10/29/2015,0.00691,0.00996
ltm,60,wet,10/29/2015,0.00582,0.00592
ltm,80,wet,10/29/2015,0.04846,0.04636
ltm,100,wet,10/29/2015,0.04846,0.03827
ltm,110,wet,10/29/2015,0.05174,0.03827
ltm,120,wet,10/29/2015,0.05392,0.04636
ltm,130,wet,10/29/2015,0.02550,0.02614
ltm,140,wet,10/29/2015,0.08454,0.07872
ltm,150,wet,10/29/2015,0.10312,0.07872
ltm,160,wet,10/29/2015,0.10640,0.09894
ltm,170,wet,10/29/2015,0.10968,0.09085
ltm,180,wet,10/29/2015,0.11515,0.10299
ltm,190,wet,10/29/2015,0.10531,0.10703
ltm,200,wet,10/29/2015,0.12608,0.05041
ltm,0,wet,12/11/2015,0.01347,0.01400
ltm,20,wet,12/11/2015,0.00691,0.00592
ltm,40,wet,12/11/2015,0.00363,0.00187
ltm,60,wet,12/11/2015,0.01894,0.01805
ltm,80,wet,12/11/2015,0.03315,0.02209
ltm,100,wet,12/11/2015,0.04080,0.03018
ltm,110,wet,12/11/2015,0.06158,0.03827
ltm,120,wet,12/11/2015,0.03643,0.03423
ltm,130,wet,12/11/2015,0.06486,0.05041
ltm,140,wet,12/11/2015,0.08126,0.06658
ltm,150,wet,12/11/2015,0.10094,0.07467
ltm,160,wet,12/11/2015,0.08891,0.08276
ltm,170,wet,12/11/2015,0.12062,0.10299
ltm,180,wet,12/11/2015,0.12608,0.06658
ltm,190,wet,12/11/2015,0.12936,0.11108
ltm,200,wet,12/11/2015,0.08344,0.07063
ltm,0,wet,1/7/2016,-0.00184,0.04636
ltm,20,wet,1/7/2016,-0.00074,0.04232
ltm,40,wet,1/7/2016,0.00254,0.04636
ltm,60,wet,1/7/2016,0.01675,0.06254
ltm,80,wet,1/7/2016,,0.08681
ltm,100,wet,1/7/2016,0.00472,0.06658
ltm,110,wet,1/7/2016,0.03971,0.05041
ltm,120,wet,1/7/2016,0.07798,0.12321
ltm,130,wet,1/7/2016,0.08891,0.12725
ltm,140,wet,1/7/2016,0.08563,0.13130
ltm,150,wet,1/7/2016,0.10531,0.13939
ltm,160,wet,1/7/2016,0.10640,0.14748
ltm,170,wet,1/7/2016,0.11296,0.15152
ltm,180,wet,1/7/2016,0.11515,0.15557
ltm,190,wet,1/7/2016,0.09766,0.16366
ltm,200,wet,1/7/2016,0.12936,0.17579
ltm,0,wet,2/3/2016,-0.00293,-0.00217
ltm,20,wet,2/3/2016,-0.00184,-0.00217
ltm,40,wet,2/3/2016,0.00363,0.00996
ltm,60,wet,2/3/2016,0.02112,0.02614
ltm,80,wet,2/3/2016,0.02878,0.03827
ltm,100,wet,2/3/2016,0.04190,0.05041
ltm,110,wet,2/3/2016,0.04408,0.05041
ltm,120,wet,2/3/2016,0.04299,0.05445
ltm,130,wet,2/3/2016,0.06267,0.08276
ltm,140,wet,2/3/2016,0.04736,0.06254
ltm,150,wet,2/3/2016,0.09000,0.09085
ltm,160,wet,2/3/2016,0.08891,0.10703
ltm,170,wet,2/3/2016,0.09438,0.11512
ltm,180,wet,2/3/2016,0.10203,0.11108
ltm,190,wet,2/3/2016,0.10859,0.13130
ltm,200,wet,2/3/2016,0.11515,0.13939
ltm,0,wet,3/2/2016,0.01675,-0.00217
ltm,20,wet,3/2/2016,0.01019,-0.00622
ltm,40,wet,3/2/2016,0.00691,-0.00217
ltm,60,wet,3/2/2016,0.01675,-0.00217
ltm,80,wet,3/2/2016,0.03206,0.01805
ltm,100,wet,3/2/2016,0.02878,0.02209
ltm,110,wet,3/2/2016,0.05392,0.03018
ltm,120,wet,3/2/2016,0.04080,0.00187
ltm,130,wet,3/2/2016,0.04955,0.00592
ltm,140,wet,3/2/2016,0.08344,0.02209
ltm,150,wet,3/2/2016,0.09766,0.03018
ltm,160,wet,3/2/2016,0.11406,0.03827
ltm,170,wet,3/2/2016,0.10640,0.04232
ltm,180,wet,3/2/2016,0.11843,0.05445
ltm,190,wet,3/2/2016,0.05502,0.06254
ltm,200,wet,3/2/2016,0.12280,0.07872
ltm,0,wet,3/31/2016,0.00054,0.00832
ltm,20,wet,3/31/2016,0.00258,0.01446
ltm,40,wet,3/31/2016,0.00624,0.01271
ltm,60,wet,3/31/2016,0.01051,0.04516
ltm,80,wet,3/31/2016,0.01498,0.04429
ltm,100,wet,3/31/2016,0.02881,0.06797
ltm,110,wet,3/31/2016,0.02413,0.08464
ltm,120,wet,3/31/2016,0.02677,0.04516
ltm,130,wet,3/31/2016,0.02250,0.11095
ltm,140,wet,3/31/2016,0.03592,0.10832
ltm,150,wet,3/31/2016,0.04833,0.12762
ltm,160,wet,3/31/2016,0.05097,0.12324
ltm,170,wet,3/31/2016,0.05077,0.12324
ltm,180,wet,3/31/2016,0.05219,0.11271
ltm,190,wet,3/31/2016,0.05117,0.11008
ltm,200,wet,3/31/2016,0.05992,0.11797
ltm,0,wet,4/28/2016,0.00197,-0.00308
ltm,20,wet,4/28/2016,-0.00271,0.00394
ltm,40,wet,4/28/2016,-0.00352,0.02236
ltm,60,wet,4/28/2016,0.00319,0.01973
ltm,80,wet,4/28/2016,0.01213,0.06534
ltm,100,wet,4/28/2016,0.01945,0.05569
ltm,110,wet,4/28/2016,0.03979,0.09429
ltm,120,wet,4/28/2016,0.04365,0.10832
ltm,130,wet,4/28/2016,0.05260,0.10745
ltm,140,wet,4/28/2016,0.04914,0.10657
ltm,150,wet,4/28/2016,0.04812,0.10920
ltm,160,wet,4/28/2016,0.04975,0.12148
ltm,170,wet,4/28/2016,0.04975,0.11797
ltm,180,wet,4/28/2016,0.05768,0.12938
ltm,190,wet,4/28/2016,0.06337,0.13902
ltm,200,wet,4/28/2016,0.06622,0.14253
ltm,0,dry,5/30/2015,0.00746,0.01603
ltm,20,dry,5/30/2015,0.00582,0.00996
ltm,40,dry,5/30/2015,0.00910,0.00996
ltm,60,dry,5/30/2015,0.01894,0.02209
ltm,80,dry,5/30/2015,0.04846,0.04636
ltm,100,dry,5/30/2015,0.06814,0.07063
ltm,110,dry,5/30/2015,0.05502,0.06456
ltm,120,dry,5/30/2015,0.06486,0.07670
ltm,130,dry,5/30/2015,0.11242,0.11310
ltm,140,dry,5/30/2015,0.12554,0.12523
ltm,150,dry,5/30/2015,0.12554,0.12523
ltm,160,dry,5/30/2015,0.15342,0.14343
ltm,170,dry,5/30/2015,0.15178,0.13737
ltm,180,dry,5/30/2015,0.18130,0.15557
ltm,190,dry,5/30/2015,0.17802,0.17377
ltm,200,dry,5/30/2015,0.18622,0.19197
ltm,0,dry,7/3/2015,0.02222,0.01400
ltm,20,dry,7/3/2015,0.02222,-0.00015
ltm,40,dry,7/3/2015,0.02222,-0.00015
ltm,60,dry,7/3/2015,0.01839,0.02816
ltm,80,dry,7/3/2015,0.03370,-0.00015
ltm,100,dry,7/3/2015,0.12936,0.08479
ltm,110,dry,7/3/2015,0.13319,0.10703
ltm,120,dry,7/3/2015,0.10094,0.07670
ltm,130,dry,7/3/2015,0.09110,0.07063
ltm,140,dry,7/3/2015,0.10094,0.07670
ltm,150,dry,7/3/2015,0.10586,0.08276
ltm,160,dry,7/3/2015,0.11734,0.08883
ltm,170,dry,7/3/2015,0.10750,0.08276
ltm,180,dry,7/3/2015,0.11406,0.10096
ltm,190,dry,7/3/2015,0.12062,0.08883
ltm,200,dry,7/3/2015,0.09766,0.09490
ltm,0,dry,8/3/2015,0.01456,
ltm,20,dry,8/3/2015,0.01839,
ltm,40,dry,8/3/2015,0.01839,
ltm,60,dry,8/3/2015,0.02222,
ltm,80,dry,8/3/2015,0.06048,
ltm,100,dry,8/3/2015,0.13702,
ltm,110,dry,8/3/2015,0.05392,
ltm,120,dry,8/3/2015,0.04846,
ltm,130,dry,8/3/2015,0.02714,
ltm,140,dry,8/3/2015,0.05338,
ltm,150,dry,8/3/2015,0.10586,
ltm,160,dry,8/3/2015,0.07470,
ltm,170,dry,8/3/2015,0.10422,
ltm,180,dry,8/3/2015,0.06650,
ltm,190,dry,8/3/2015,0.16982,
ltm,200,dry,8/3/2015,0.16326,
ltm,0,dry,9/5/2015,0.00800,0.17983
ltm,20,dry,9/5/2015,0.02987,0.17983
ltm,40,dry,9/5/2015,0.00800,0.19601
ltm,60,dry,9/5/2015,0.01675,0.21219
ltm,80,dry,9/5/2015,0.05174,0.37398
ltm,100,dry,9/5/2015,0.18731,0.39015
ltm,110,dry,9/5/2015,0.04900,0.41038
ltm,120,dry,9/5/2015,0.07579,0.17781
ltm,130,dry,9/5/2015,0.02222,0.11310
ltm,140,dry,9/5/2015,0.04846,0.19803
ltm,150,dry,9/5/2015,0.09438,0.19803
ltm,160,dry,9/5/2015,0.12718,0.21624
ltm,170,dry,9/5/2015,0.13538,0.21624
ltm,180,dry,9/5/2015,0.10258,0.23444
ltm,190,dry,9/5/2015,0.14030,0.24657
ltm,200,dry,9/5/2015,0.07962,0.17983
ltm,0,dry,10/3/2015,0.03862,0.08276
ltm,20,dry,10/3/2015,0.04518,0.07063
ltm,40,dry,10/3/2015,0.06814,0.09490
ltm,60,dry,10/3/2015,0.04846,0.11916
ltm,80,dry,10/3/2015,0.15998,0.17983
ltm,100,dry,10/3/2015,0.14686,0.16770
ltm,110,dry,10/3/2015,0.11952,0.13130
ltm,120,dry,10/3/2015,0.11898,0.13737
ltm,130,dry,10/3/2015,0.16982,0.16163
ltm,140,dry,10/3/2015,0.19114,0.16163
ltm,150,dry,10/3/2015,0.16162,0.15557
ltm,160,dry,10/3/2015,0.15834,0.16163
ltm,170,dry,10/3/2015,0.18786,0.17983
ltm,180,dry,10/3/2015,0.11734,0.18590
ltm,190,dry,10/3/2015,0.17310,0.19197
ltm,200,dry,10/3/2015,0.17310,0.19803
ltm,0,dry,5/26/2016,0.00227,0.00701
ltm,20,dry,5/26/2016,0.00441,-0.01536
ltm,40,dry,5/26/2016,-0.00047,-0.01536
ltm,60,dry,5/26/2016,-0.00078,-0.01536
ltm,80,dry,5/26/2016,0.01600,0.01622
ltm,100,dry,5/26/2016,0.02698,0.02937
ltm,110,dry,5/26/2016,0.02820,0.03858
ltm,120,dry,5/26/2016,0.02850,0.05437
ltm,130,dry,5/26/2016,,0.05043
ltm,140,dry,5/26/2016,0.03552,0.04780
ltm,150,dry,5/26/2016,0.08676,0.17280
ltm,160,dry,5/26/2016,0.06876,0.13595
ltm,170,dry,5/26/2016,0.07669,0.19122
ltm,180,dry,5/26/2016,0.07181,0.17411
ltm,190,dry,5/26/2016,0.06937,0.17806
ltm,200,dry,5/26/2016,0.08767,0.20438